smiles,permeability_CO2,selectivity_CO2_CH4
Cc1cc(C)c(-[cH3]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@]2(C(C)C)c3ccccc3[C@@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)c(C)c1C,916.0,21.302325581395348
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:6](-[c:5]6[cH:4][cH:3]c([CH2:6][c:5]7[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]7)[cH:8][cH:7]6)c(=O)c5cc4oc3cc12,286.0,26.728971962616825
CC(C)[C@@]12c3ccccc3[C@@](C(C)C)(c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc31)c1cc3oc4cc5c(=O)[c:6](-[c:5]6[cH:4][cH:3]c([C:6](C(F)(F)F)(C(F)(F)F)[c:5]7[cH:4][cH:3][c:2]([CH3:1])[cH:8][cH:7]7)[cH:8][cH:7]6)c(=O)c5cc4oc3cc12,1552.0,20.155844155844157
C#c1[c:4](-[c:8]2c(=O)c3cc4oc5cc6c(cc5oc4cc3c2=O)[C@@]2(C(C)C)c3ccccc3[C@]6(C(C)C)c3cc4oc5cc6c(=O)n(C)c(=O)c6cc5oc4cc32)[cH:3][cH:2]c([C:9](C(F)(F)F)(C(F)(F)F)[c:1]2[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]2)[cH:6]1,322.0,29.272727272727273
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1-[cH3]1c(=O)c2cc3oc4cc5c(cc4oc3cc2c1=O)[C@]1(C(C)C)c2ccccc2[C@@]5(C(C)C)c2cc3oc4cc5c(=O)n(C)c(=O)c5cc4oc3cc21,4391.0,12.403954802259888
C#c1c[cH3](-c2cc(C)c(C)c3ccccc23)c2ccccc2c1[CH3]1C(=O)c2cc3c(cc2C1=O)[C@@H]1c2ccccc2[C@@H]3c2cc3c(cc21)[CH3](=O)N(C)[CH3]3=O,3700.0,17.12962962962963
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3[c:23]([CH3:29])[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,182.0,28.4375
Cn1c(=O)c2[c-]c3c(=O)n(-c4[c:23]([CH3:29])[cH:22][c:11]5[c:10]([cH:25]4)[C@:9]4([c:4]6[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]6-[c:7]6[c:8]4[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]4[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]4)c(=O)c3[c-]c2c1=O,197.0,21.64835164835165
CN1C(=O)c2cc3c(cc2C1=O)[CH3]c1cc2c(cc1[CH3]3)C(C)(C)CC21CC(C)(C)c2cc3c(cc21)[CH3]c1cc2c(cc1[CH3]3)C(=O)N([cH3]1[c:23]([CH3:29])[cH:22][c:11]3[c:10]([cH:25]1)[C@:9]1([c:4]4[cH:3][c:2]([CH3:27])[c:1]([CH3:26])[cH:6][c:5]4-[c:7]4[c:8]1[cH:14][c:15](C)[c:16](C)[cH:17]4)[c:13]1[c:12]-3[cH:21][c:20](C)[c:19](C)[cH:18]1)C2=O,614.0,14.939172749391727
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)N([cH3]3c(Br)[cH:22][c:11]5[c:10]([cH:25]3)[C@:9]3([c:4]6[cH:3][c:2]([CH3:27])c(Br)[cH:6][c:5]6-[c:7]6[c:8]3[cH:14][c:15](C)[c:16](C)[cH:17]6)[c:13]3[c:12]-5[cH:21][c:20](C)[c:19](C)[cH:18]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,580.0,23.293172690763054
