smiles,permeability_O2,selectivity_O2_N2
C#c1[c:1]([CH3]2C(=O)c3cc4c(cc3C2=O)-[c:12]2[c:13]([cH:18][c:19](C)[c:20](C)[cH:21]2)[C@:9]42[c:4]3[cH:3][c:2]4[c:1]([cH:6][c:5]3-[c:7]3[c:8]2[cH:14][c:15](C)[c:16](C)[cH:17]3)[C:26](=O)N(C)[C:27]4=O)c(#C)[c:5]2[c:4]([cH:3]1)[CH2:10][CH3]1c3cc(C)c(C)c(C)c3[CH3][N:7]2[CH2:8]1,941.0,3.5643939393939394
Cc1ccc2c(c1)[C@@H]1c3ccccc3[C@H]2c2cc([CH3]3C(=O)c4ccc([CH3](c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc21,25.4,5.404255319148936
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[CH:9]([c:1]3[cH:2][cH:3]c([CH3]c5ccc([CH2:8][c:4]6[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]6[CH3:7])c6c5[C@H]5c7ccccc7[C@@H]6c6ccccc65)[c:5]([CH3:7])[cH:6]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,4.07,6.166666666666667
C#c1c([CH3]c2ccc([CH2:8][c:4]3[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]3[CH3:7])c3c2[C@H]2c4ccccc4[C@@H]3c3ccccc32)[cH:3][cH:2][c:1]([CH:9]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[cH:6]1,2.64,6.439024390243903
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[CH:9]([c:1]3[cH:2][cH:3]c([CH3]c5ccc([CH2:8][c:4]6[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]6[CH3:7])c6c5[C@H]5c7ccccc7[C@@H]6c6ccccc65)c(C(F)(F)F)[cH:6]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,5.75,5.808080808080808
Cc1ccc2c(c1)[C@H]1c3ccc([CH3]4C(=O)c5ccc([CH3](c6ccc7c(c6)C(=O)N(C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3[C@@H]2c2cc3ccccc3cc21,43.3,4.811111111111111
Cc1c2c(c(C)c3c1[C@H]1c4ccccc4[C@@H]3c3ccccc31)[C@H]1c3ccc(-c4[cH:3][cH:2][c:1]([CH:9]5C(=O)c6ccc([CH3](c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)[cH:6][c:5]4[CH3:7])[c:8](-[c:4]4[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]4[CH3:7])-c3[C@H]2c2ccccc21,17.0,5.3125
C#c1c(-c2ccc3c([C@H]4c5ccccc5[C@H]3c3c4c(C)c4c(c3C)[C@H]3c5ccccc5[C@@H]4c4ccccc43)-[c:8]2-[c:4]2[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]2[CH3:7])[cH:3][cH:2][c:1]([CH:9]2C(=O)c3ccc([CH3](c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)[cH:6]1,12.0,5.0
Cc1c2c(c(C)c3c1[C@H]1c4ccccc4[C@@H]3c3ccccc31)[C@H]1c3ccc(-c4c(C(F)(F)F)[cH:6][c:1]([CH:9]5C(=O)c6ccc([CH3](c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)[cH:2][cH:3]4)[c:8](-[c:4]4[cH:3][cH:2][c:1]([CH3:9])[cH:6][c:5]4[CH3:7])-c3[C@H]2c2ccccc21,30.0,4.285714285714286
CN1C(=O)c2ccc([CH3](c3ccc4c(c3)C(=O)[CH:9]([c:1]3[cH:2][cH:3][c:4]([CH3:8])[c:5]([CH3:7])[cH:6]3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,2.5,6.756756756756757
